date,dcoilwtico
2013-01-02,93.14
2013-01-03,92.97
2013-01-04,93.12
2013-01-05,93.14666666666668
2013-01-06,93.17333333333333
2013-01-07,93.2
2013-01-08,93.21
2013-01-09,93.08
2013-01-10,93.81
2013-01-11,93.6
2013-01-12,93.82333333333332
2013-01-13,94.04666666666667
2013-01-14,94.27
2013-01-15,93.26
2013-01-16,94.28
2013-01-17,95.49
2013-01-18,95.61
2013-01-19,95.69
2013-01-20,95.77
2013-01-21,95.85
2013-01-22,96.09
2013-01-23,95.06
2013-01-24,95.35
2013-01-25,95.15
2013-01-26,95.41666666666667
2013-01-27,95.68333333333334
2013-01-28,95.95
2013-01-29,97.62
2013-01-30,97.98
2013-01-31,97.65
2013-02-01,97.46
2013-02-02,97.04333333333332
2013-02-03,96.62666666666667
2013-02-04,96.21
2013-02-05,96.68
2013-02-06,96.44
2013-02-07,95.84
2013-02-08,95.71
2013-02-09,96.14333333333333
2013-02-10,96.57666666666667
2013-02-11,97.01
2013-02-12,97.48
2013-02-13,97.03
2013-02-14,97.3
2013-02-15,95.95
2013-02-16,96.07333333333334
2013-02-17,96.19666666666666
2013-02-18,96.32
2013-02-19,96.69
2013-02-20,94.92
2013-02-21,92.79
2013-02-22,93.12
2013-02-23,92.99333333333334
2013-02-24,92.86666666666666
2013-02-25,92.74
2013-02-26,92.63
2013-02-27,92.84
2013-02-28,92.03
2013-03-01,90.71
2013-03-02,90.51666666666667
2013-03-03,90.32333333333332
2013-03-04,90.13
2013-03-05,90.88
2013-03-06,90.47
2013-03-07,91.53
2013-03-08,92.01
2013-03-09,92.03
2013-03-10,92.05
2013-03-11,92.07
2013-03-12,92.44
2013-03-13,92.47
2013-03-14,93.03
2013-03-15,93.49
2013-03-16,93.56333333333333
2013-03-17,93.63666666666666
2013-03-18,93.71
2013-03-19,92.44
2013-03-20,93.21
2013-03-21,92.46
2013-03-22,93.41
2013-03-23,93.78999999999999
2013-03-24,94.17
2013-03-25,94.55
2013-03-26,95.99
2013-03-27,96.53
2013-03-28,97.24
2013-03-29,97.16999999999999
2013-03-30,97.14666666666666
2013-03-31,97.12333333333332
2013-04-01,97.1
2013-04-02,97.23
2013-04-03,95.02
2013-04-04,93.26
2013-04-05,92.76
2013-04-06,92.96000000000001
2013-04-07,93.16
2013-04-08,93.36
2013-04-09,94.18
2013-04-10,94.59
2013-04-11,93.44
2013-04-12,91.23
2013-04-13,90.40333333333334
2013-04-14,89.57666666666667
2013-04-15,88.75
2013-04-16,88.73
2013-04-17,86.65
2013-04-18,87.83
2013-04-19,88.04
2013-04-20,88.29666666666667
2013-04-21,88.55333333333334
2013-04-22,88.81
2013-04-23,89.21
2013-04-24,91.07
2013-04-25,93.27
2013-04-26,92.63
2013-04-27,93.11666666666666
2013-04-28,93.60333333333334
2013-04-29,94.09
2013-04-30,93.22
2013-05-01,90.74
2013-05-02,93.7
2013-05-03,95.25
2013-05-04,95.43333333333334
2013-05-05,95.61666666666666
2013-05-06,95.8
2013-05-07,95.28
2013-05-08,96.24
2013-05-09,96.09
2013-05-10,95.81
2013-05-11,95.46000000000001
2013-05-12,95.11
2013-05-13,94.76
2013-05-14,93.96
2013-05-15,93.95
2013-05-16,94.85
2013-05-17,95.72
2013-05-18,95.91
2013-05-19,96.10000000000001
2013-05-20,96.29
2013-05-21,95.55
2013-05-22,93.98
2013-05-23,94.12
2013-05-24,93.84
2013-05-25,93.97500000000001
2013-05-26,94.11
2013-05-27,94.245
2013-05-28,94.65
2013-05-29,93.13
2013-05-30,93.57
2013-05-31,91.93
2013-06-01,92.42333333333333
2013-06-02,92.91666666666667
2013-06-03,93.41
2013-06-04,93.36
2013-06-05,93.66
2013-06-06,94.71
2013-06-07,96.11
2013-06-08,96.01333333333334
2013-06-09,95.91666666666666
2013-06-10,95.82
2013-06-11,95.5
2013-06-12,95.98
2013-06-13,96.66
2013-06-14,97.83
2013-06-15,97.84
2013-06-16,97.85
2013-06-17,97.86
2013-06-18,98.46
2013-06-19,98.24
2013-06-20,94.89
2013-06-21,93.81
2013-06-22,94.23
2013-06-23,94.64999999999999
2013-06-24,95.07
2013-06-25,95.25
2013-06-26,95.47
2013-06-27,97.0
2013-06-28,96.36
2013-06-29,96.88666666666667
2013-06-30,97.41333333333333
2013-07-01,97.94
2013-07-02,99.65
2013-07-03,101.92
2013-07-04,102.505
2013-07-05,103.09
2013-07-06,103.07000000000001
2013-07-07,103.05
2013-07-08,103.03
2013-07-09,103.46
2013-07-10,106.41
2013-07-11,104.77
2013-07-12,105.85
2013-07-13,105.96666666666667
2013-07-14,106.08333333333333
2013-07-15,106.2
2013-07-16,105.88
2013-07-17,106.39
2013-07-18,107.94
2013-07-19,108.0
2013-07-20,107.53666666666666
2013-07-21,107.07333333333334
2013-07-22,106.61
2013-07-23,107.13
2013-07-24,105.41
2013-07-25,105.47
2013-07-26,104.76
2013-07-27,104.71000000000001
2013-07-28,104.66
2013-07-29,104.61
2013-07-30,103.14
2013-07-31,105.1
2013-08-01,107.93
2013-08-02,106.94
2013-08-03,106.83
2013-08-04,106.72
2013-08-05,106.61
2013-08-06,105.32
2013-08-07,104.41
2013-08-08,103.45
2013-08-09,106.04
2013-08-10,106.09
2013-08-11,106.14
2013-08-12,106.19
2013-08-13,106.78
2013-08-14,106.89
2013-08-15,107.43
2013-08-16,107.58
2013-08-17,107.43333333333334
2013-08-18,107.28666666666666
2013-08-19,107.14
2013-08-20,104.9
2013-08-21,103.93
2013-08-22,104.93
2013-08-23,106.48
2013-08-24,106.28
2013-08-25,106.08
2013-08-26,105.88
2013-08-27,109.11
2013-08-28,110.17
2013-08-29,108.51
2013-08-30,107.98
2013-08-31,108.095
2013-09-01,108.21000000000001
2013-09-02,108.325
2013-09-03,108.67
2013-09-04,107.29
2013-09-05,108.5
2013-09-06,110.62
2013-09-07,110.28666666666668
2013-09-08,109.95333333333333
2013-09-09,109.62
2013-09-10,107.48
2013-09-11,107.65
2013-09-12,108.72
2013-09-13,108.31
2013-09-14,107.72
2013-09-15,107.13000000000001
2013-09-16,106.54
2013-09-17,105.36
2013-09-18,108.23
2013-09-19,106.26
2013-09-20,104.7
2013-09-21,104.34
2013-09-22,103.98
2013-09-23,103.62
2013-09-24,103.22
2013-09-25,102.68
2013-09-26,103.1
2013-09-27,102.86
2013-09-28,102.69333333333333
2013-09-29,102.52666666666667
2013-09-30,102.36
2013-10-01,102.09
2013-10-02,104.15
2013-10-03,103.29
2013-10-04,103.83
2013-10-05,103.57666666666667
2013-10-06,103.32333333333332
2013-10-07,103.07
2013-10-08,103.54
2013-10-09,101.63
2013-10-10,103.08
2013-10-11,102.17
2013-10-12,102.26666666666667
2013-10-13,102.36333333333333
2013-10-14,102.46
2013-10-15,101.15
2013-10-16,102.34
2013-10-17,100.72
2013-10-18,100.87
2013-10-19,100.34
2013-10-20,99.81
2013-10-21,99.28
2013-10-22,97.63
2013-10-23,96.9
2013-10-24,96.65
2013-10-25,97.4
2013-10-26,97.84666666666666
2013-10-27,98.29333333333334
2013-10-28,98.74
2013-10-29,98.29
2013-10-30,96.81
2013-10-31,96.29
2013-11-01,94.56
2013-11-02,94.56666666666666
2013-11-03,94.57333333333334
2013-11-04,94.58
2013-11-05,93.4
2013-11-06,94.74
2013-11-07,94.25
2013-11-08,94.56
2013-11-09,94.75
2013-11-10,94.94
2013-11-11,95.13
2013-11-12,93.12
2013-11-13,93.91
2013-11-14,93.76
2013-11-15,93.8
2013-11-16,93.54333333333334
2013-11-17,93.28666666666666
2013-11-18,93.03
2013-11-19,93.35
2013-11-20,93.34
2013-11-21,95.35
2013-11-22,94.53
2013-11-23,94.30666666666667
2013-11-24,94.08333333333333
2013-11-25,93.86
2013-11-26,93.41
2013-11-27,92.05
2013-11-28,92.3
2013-11-29,92.55
2013-11-30,92.90333333333334
2013-12-01,93.25666666666666
2013-12-02,93.61
2013-12-03,95.83
2013-12-04,96.97
2013-12-05,97.14
2013-12-06,97.48
2013-12-07,97.35333333333334
2013-12-08,97.22666666666666
2013-12-09,97.1
2013-12-10,98.32
2013-12-11,97.25
2013-12-12,97.21
2013-12-13,96.27
2013-12-14,96.57333333333334
2013-12-15,96.87666666666667
2013-12-16,97.18
2013-12-17,96.99
2013-12-18,97.59
2013-12-19,98.4
2013-12-20,99.11
2013-12-21,98.94666666666667
2013-12-22,98.78333333333333
2013-12-23,98.62
2013-12-24,98.87
2013-12-25,99.025
2013-12-26,99.18
2013-12-27,99.94
2013-12-28,99.59333333333333
2013-12-29,99.24666666666667
2013-12-30,98.9
2013-12-31,98.17
2014-01-01,96.655
2014-01-02,95.14
2014-01-03,93.66
2014-01-04,93.48
2014-01-05,93.3
2014-01-06,93.12
2014-01-07,93.31
2014-01-08,91.9
2014-01-09,91.36
2014-01-10,92.39
2014-01-11,92.07666666666667
2014-01-12,91.76333333333334
2014-01-13,91.45
2014-01-14,92.15
2014-01-15,93.78
2014-01-16,93.54
2014-01-17,93.96
2014-01-18,94.05166666666666
2014-01-19,94.14333333333333
2014-01-20,94.235
2014-01-21,94.51
2014-01-22,96.35
2014-01-23,97.23
2014-01-24,96.66
2014-01-25,96.38
2014-01-26,96.1
2014-01-27,95.82
2014-01-28,97.49
2014-01-29,97.34
2014-01-30,98.25
2014-01-31,97.55
2014-02-01,97.17999999999999
2014-02-02,96.81
2014-02-03,96.44
2014-02-04,97.24
2014-02-05,97.4
2014-02-06,97.84
2014-02-07,99.98
2014-02-08,100.02666666666667
2014-02-09,100.07333333333334
2014-02-10,100.12
2014-02-11,99.96
2014-02-12,100.38
2014-02-13,100.27
2014-02-14,100.31
2014-02-15,100.68166666666667
2014-02-16,101.05333333333334
2014-02-17,101.42500000000001
2014-02-18,102.54
2014-02-19,103.46
2014-02-20,103.2
2014-02-21,102.53
2014-02-22,102.74333333333334
2014-02-23,102.95666666666666
2014-02-24,103.17
2014-02-25,102.2
2014-02-26,102.93
2014-02-27,102.68
2014-02-28,102.88
2014-03-01,103.7
2014-03-02,104.52
2014-03-03,105.34
2014-03-04,103.64
2014-03-05,101.75
2014-03-06,101.82
2014-03-07,102.82
2014-03-08,102.34333333333333
2014-03-09,101.86666666666666
2014-03-10,101.39
2014-03-11,100.29
2014-03-12,98.29
2014-03-13,98.57
2014-03-14,99.23
2014-03-15,98.96333333333334
2014-03-16,98.69666666666667
2014-03-17,98.43
2014-03-18,100.08
2014-03-19,100.71
2014-03-20,99.68
2014-03-21,99.97
2014-03-22,99.99666666666667
2014-03-23,100.02333333333333
2014-03-24,100.05
2014-03-25,99.66
2014-03-26,100.61
2014-03-27,101.25
2014-03-28,101.73
2014-03-29,101.67666666666666
2014-03-30,101.62333333333333
2014-03-31,101.57
